campaign_objective_primary,campaign_objective_group
13D Filer - No Publicly Disclosed Activism,(Missing)
(Missing),(Missing)
Board Representation,BOARD
Board Control,BOARD
Maximize Shareholder Value,GENERAL
Enhance Corporate Governance,GENERAL
Hostile/Unsolicited Acquisition,HOSTILEACQ
Vote/Activism Against a Merger,BLOCKMERGER
"Remove Director(s), No Dissident Nominee to Fill Vacancy",REMOVE
Remove Officer(s),REMOVE
Public Short Position/Bear Raid,SHORT
Vote For a Stockholder Proposal,SUPPDISS
Vote Against a Management Proposal,SUPPDISS
Support Dissident Group in Proxy Fight,SUPPDISS
Vote For a Management Proposal/Support Management,SUPPMGMT
